neighbourhood_group_n,neighbourhood_n,room_type_n,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
2,152,1,1,4,1,162
2,61,1,2,20,2,27
0,21,2,1,0,1,0
1,7,1,2,22,1,230
2,116,1,2,1,1,0
1,28,1,30,0,65,365
0,6,1,2,0,1,87
0,12,0,2,10,2,62
2,56,0,7,0,1,0
0,6,0,15,3,11,354
1,4,1,1,0,3,0
1,9,0,1,1,2,0
2,56,0,1,129,1,95
0,3,0,60,0,1,0
1,23,0,2,52,4,67
0,15,0,3,8,2,0
0,117,2,2,5,1,0
0,76,0,2,0,4,89
1,2,1,3,37,1,47
1,27,1,1,0,1,158
1,8,1,10,0,2,0
1,14,0,1,0,1,0
0,6,0,2,0,1,365
1,2,0,3,1,2,310
0,21,0,2,8,1,19
1,1,0,30,0,1,125
0,12,1,3,1,1,2
1,2,1,2,292,2,186
0,6,1,1,17,1,362
1,19,1,7,1,1,153
0,21,0,20,0,2,365
1,30,0,1,20,3,227
0,12,1,5,0,1,318
1,23,1,3,1,1,264
1,1,0,2,0,3,0
1,8,1,2,40,2,285
0,12,1,2,3,1,0
0,123,1,3,162,1,300
0,12,1,3,25,1,30
2,37,0,30,1,3,342
1,23,1,2,0,1,17
0,79,0,1,4,1,0
0,6,0,3,20,1,173
1,28,1,31,3,33,281
1,30,1,5,8,1,0
1,7,0,1,1,1,0
0,12,1,3,17,1,31
0,6,2,3,0,1,38
1,7,1,2,287,1,284
1,7,1,3,2,2,4
2,56,0,1,92,3,357
1,19,1,5,143,2,316
1,7,1,30,0,121,364
1,1,1,2,0,4,229
1,43,1,2,2,327,350
1,19,1,1,0,1,365
0,75,1,5,1,1,23
1,45,1,2,11,1,0
0,6,0,2,46,4,301
2,37,0,3,92,10,172
1,77,0,1,0,1,0
1,28,1,2,249,1,172
0,15,0,2,0,1,224
1,30,0,2,8,2,44
0,12,0,3,31,1,0
0,13,0,8,37,5,280
1,23,1,1,13,1,213
0,20,1,3,4,1,0
1,2,0,3,0,1,362
2,37,1,1,2,1,0
0,3,1,1,1,1,0
1,14,1,2,0,1,74
1,52,1,5,14,1,9
1,7,0,1,216,1,43
1,2,0,1,34,1,180
2,37,1,30,4,15,232
1,2,1,6,0,1,332
1,14,0,2,151,1,0
0,12,1,2,2,1,0
0,22,0,1,0,1,0
1,18,0,3,150,1,320
0,38,1,3,16,1,33
1,53,1,3,2,1,33
0,6,1,3,149,1,242
0,22,1,3,7,1,5
1,68,1,2,105,1,304
0,6,1,4,29,3,205
0,24,1,3,1,2,0
1,7,0,1,1,1,23
0,10,1,5,2,1,0
1,19,0,7,0,1,0
0,6,0,2,30,1,94
0,21,0,2,30,5,0
0,22,1,3,0,1,157
0,3,0,1,0,1,0
1,64,1,2,28,1,0
0,54,2,30,0,7,365
1,14,1,2,9,1,50
0,12,0,7,5,1,0
1,5,1,2,7,327,125
0,6,0,2,2,1,0
3,41,1,3,22,1,39
0,15,1,1,49,1,276
1,11,1,2,4,1,0
0,16,1,3,0,2,191
0,15,1,13,12,1,74
0,12,0,21,0,1,0
1,19,1,8,15,1,0
1,28,0,1,38,4,142
1,23,0,1,51,3,0
2,49,0,1,6,1,363
0,12,0,1,0,1,0
2,129,1,5,1,2,0
1,7,0,7,8,47,271
1,1,0,1,0,1,0
0,13,1,3,2,1,0
0,29,1,3,67,1,129
0,3,1,2,7,1,0
0,3,0,7,1,1,0
1,5,1,30,0,50,364
